Net,Pi BCM GPIO,Pi physical pin,Translator,SN7516x,Function,Notes
GPIB_DIO1,20,38,U3 ch1,U1 data ch1,DIO1,Bidirectional
GPIB_DIO2,26,37,U3 ch2,U1 data ch2,DIO2,Bidirectional
GPIB_DIO3,16,36,U3 ch3,U1 data ch3,DIO3,Bidirectional
GPIB_DIO4,19,35,U3 ch4,U1 data ch4,DIO4,Bidirectional
GPIB_DIO5,13,33,U3 ch5,U1 data ch5,DIO5,Bidirectional
GPIB_DIO6,12,32,U3 ch6,U1 data ch6,DIO6,Bidirectional
GPIB_DIO7,6,31,U3 ch7,U1 data ch7,DIO7,Bidirectional
GPIB_DIO8,5,29,U3 ch8,U1 data ch8,DIO8,Bidirectional
GPIB_EOI,9,21,U4 ch1,U2 EOI terminal,EOI,Bidirectional/state dependent
GPIB_DAV,10,19,U4 ch2,U2 DAV terminal,DAV,Bidirectional
GPIB_NRFD,24,18,U4 ch3,U2 NRFD terminal,NRFD,Bidirectional
GPIB_NDAC,23,16,U4 ch4,U2 NDAC terminal,NDAC,Bidirectional
GPIB_IFC,22,15,U4 ch5,U2 IFC terminal,IFC,Controller management
GPIB_SRQ,11,23,U4 ch6,U2 SRQ terminal,SRQ,Instrument request
GPIB_ATN,25,22,U4 ch7,U2 ATN terminal,ATN,Controller management
GPIB_REN,27,13,U4 ch8,U2 REN terminal,REN,Controller management
GPIB_PE,7,26,none,U1 PE,Pullup enable,100R series + 47k pulldown
GPIB_DC,8,24,none,U2 DC,Direction control,100R series + 47k pulldown
GPIB_TE,18,12,none,U1/U2 TE,Talk enable,100R series + 47k pulldown
GPIB_XLAT_EN,17,11,U3/U4 OE,none,Translator enable,10k pulldown; 100R series
GPIB_ACTIVITY,4,7,none,none,Activity LED,Retained upstream gpib4pi function
ID_SD,0,27,none,none,HAT EEPROM SDA,EEPROM only
ID_SC,1,28,none,none,HAT EEPROM SCL,EEPROM only
