Ref,Qty,Part,Package,Populate,Hand assembly notes
J1,1,2x20 Raspberry Pi stacking/HAT header,2.54mm TH,Yes,Select height after enclosure review
U1,1,TI SN75160BN,PDIP-20,Yes,Turned-pin socket
U2,1,TI SN75161BN,PDIP-20,Yes,Turned-pin socket
"U3,U4",2,TI TXS0108EPW,TSSOP-20 PW,Yes,Solder first; extended toe pads
U5,1,onsemi CAT24C32,SOIC-8,Yes,Hand solder
J2,1,2x13 keyed header,2.54mm TH,Yes,Internal GPIB loom
JP1,1,2-pin jumper + shunt,2.54mm TH,Yes,EEPROM write enable
"R51,R52",2,3.9k 1%,0805,Yes,ID pullups
R53,1,1k 1%,0805,Yes,EEPROM WP pullup
"R61,R63,R65,R67",4,100R,0805,Yes,Series configuration resistors
R62,1,10k,0805,Yes,Translator enable pulldown
"R64,R66,R68",3,47k,0805,Yes,TE/DC/PE defaults; verify at review
R_TERM_UP,16,3.3k 1%,0805,Yes,Bus termination
R_TERM_DN,16,6.2k 1%,0805,Yes,Bus termination
R71,1,0R,1206 or TH,Yes,5V_GPIB isolation
R74,1,0R,1206 or TH,Yes,Ground/chassis bond
C74,1,TBD,1206,No,Optional HF chassis bond
"C31,C32,C33,C41,C42,C43,C51",7,100nF X7R,0805,Yes,Local decoupling
C71,1,47uF >=10V,Radial / large SMD,Yes,5V bulk
"C72,C73",2,1uF X7R,1206,Yes,Rail bulk
FB1,1,0R initially / ferrite optional,1206,Yes,Measure before changing to ferrite
LED1,1,Low current LED,TH or large SMD,Optional,Activity
R_LED,1,1k-3.3k TBD,0805,Optional,Set after LED selection
TP*,20+,Loop test point,TH,Yes,Generous spacing
